"#"	"Network Object ""FROM"""	"Object Type"	"Network Object ""TO"""	"Object Type"	"Effect"	"Mechanism"	"Homo sapiens"	"Link Info"	"References"
242	"GSK3 beta"	"Protein kinase"	"FOXO3A"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"FoxO3a is activated in response to IES by interacting with GSK3beta, and inhibition of GSK3beta or reducing FoxO3a expression promotes resistance to stress-induced behavioral disturbance by disrupting this signaling mechanism."	"21978520"
243	"EGFR"	"Receptor with enzyme activity"	"c-Jun"	"Transcription factor"	"Activation"	"Transcription regulation"	"x"	"RON  in a complex with EGFR  binds to  and activates JUN  promoter."	"20498137"
244	"GSK3 beta"	"Protein kinase"	"RARalpha"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta probably phosphorylates RARalpha."	"17570479;22222598"
245	"LRP6"	"Generic receptor"	"GSK3 beta"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"LRP6 physically interacts with  GSK3 beta and decreases its activity."	"16365045;19107203;20627573"
246	"NF-AT2(NFATC1)"	"Transcription factor"	"c-Src"	"Protein kinase"	"Activation"	"Transcription regulation"	"x"	"NF-AT2(NFATC1) probably regulates transcription of c-Src in human B-cell lymphoma."	"18277385;19576893;20035895"
247	"LRP6"	"Generic receptor"	"GSK3 alpha/beta"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"LRP6 inhibits GSK3 activity"	"16365045;18509060;19293931"
248	"EGR1"	"Transcription factor"	"p70 S6 kinase1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative EGR1 binding sites are found in gene Rps6kb1 promoter."	"16248890"
249	"PKC-zeta"	"Protein kinase"	"Bcl-10"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"Bcl10 accumulates and interacts with PKC-zeta at NMs of VP-16-exposed C4-I cells. PKC-zeta directly phosphorylates Bcl10."	"22812606"
250	"PP1-cat"	"Protein phosphatase"	"c-Raf-1"	"Protein kinase"	"Activation"	"Dephosphorylation"	"x"	"PP1-cat dephosphorylates and activates c-Raf-1"	"12374792;16630891"
251	"AKT1"	"Protein kinase"	"Bcl-10"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"AKT1 phosphorylates Bcl-10 and increases its activity."	"16280327"
252	"AMPK alpha 2 subunit"	"Protein kinase"	"Beta-catenin"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"AMPK catalyzes the phosphorylation of b-catenin at Ser 552."	"20361929"
253	"GSK3 alpha/beta"	"Protein kinase"	"C/EBPalpha"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"GSK3 regulates a number of transcription factors with links to endocrine action, in particular the transcription factors C/EBPbeta and CREB, which are responsive to hormones that stimulate the generation of the second messenger cAMP."	"10567568;16600022;21629754"
254	"GSK3 beta"	"Protein kinase"	"EGR1"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates EGR1 and decreases its activity."	"16912034"
255	"GSK3 alpha"	"Protein kinase"	"EGR1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"GSK3 alpha phosphorylates EGR1 and increases its activity."	"16912034"
256	"GSK3 beta"	"Protein kinase"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Activation"	"Phosphorylation"	"x"	"GSK3beta phosphorylates TSC2 on Ser1371, Ser1375, Ser1379, and  Ser1383."	"12511557;16959574;17376031;18094094;18291711;18466115;18650261"
257	"AKT1"	"Protein kinase"	"GSK3 alpha"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"AKT1 physically interacts with GSK3 alpha."	"8524413;8921390;9005851;11035810;11884598;16099987;17657738;19250614;19995607;21779512;21821916"
258	"GSK3 beta"	"Protein kinase"	"GCR-alpha"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"We found hormone-dependent GCR-alpha phosphorylation on Serine 404 by GSK-3beta."	"18838540"
259	"p53"	"Transcription factor"	"AMPK beta1"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"AMPK beta1 was identificated as p53  target gene by chromatin immunoprecipitation analysis and quantitative RT-PCR."	"12673118;14508115;16140933;16951143;17409411;17677004;20182617;20303758;20399660;21779512"
260	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"mTOR"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"Tuberin physically interacts with  mTOR and decreases its activity."	"12172553;12172555;12271141;16357142;16724053;17018601;17041621;17046229;17376031;17613433;17972252;18411301;18692468;21123650"
261	"GSK3 beta"	"Protein kinase"	"PAX3"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"PAX3 directly interacted with and was phosphorylated in vitro on a number of residues by GSK-3b."	"22679108"
262	"c-Src"	"Protein kinase"	"HNF4-alpha"	"Transcription factor"	"Unspecified"	"Phosphorylation"	"x"	"Src tyrosine kinase phosphorylation of nuclear receptor HNF4a correlates with isoform-specific loss of HNF4a in human colon cancer."	"22308320"
263	"c-Fos"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"C-Fos binds to gene EGFR promoter and activates EGFR expression."	"14704150"
264	"YB-1"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"YB-1 binds to the promoter region of EGFR and stimulates its expression"	"17595327;17875215"
265	"p70 S6 kinase1"	"Protein kinase"	"Rictor"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"S6K1 phosphorylates Rictor on T1135."	"15809305;19720745;19995915;21144894"
266	"PKC-zeta"	"Protein kinase"	"GSK3 beta"	"Protein kinase"	"Inhibition"	"Phosphorylation"	"x"	"PKC can enhance phosphorylation and thus inactivation of GSK3 beta."	"11481324;12610628;14734537;16510873;16787739;17053159;17105725;17728459;18218726"
267	"AMPK alpha 2 subunit"	"Protein kinase"	"Gephyrin"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"Gephyrin is a direct  AMPKalpha2 substrate."	"22137581"
268	"c-Myc"	"Transcription factor"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Binding of c-Myc to GSK3 beta was identified by sequence analysis and quantitative chromatin immunoprecipitation in vivo."	"8247524;11877389;12695333;14563837;16247449;19030024;21150319"
269	"AMPK alpha 1 subunit"	"Protein kinase"	"Synapsin I"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"AMPK alpha 1 subunit phosphorylates Synapsin I."	"17608512"
270	"PTEN"	"Lipid phosphatase"	"PtdIns(3,4,5)P3 + H(,2)O = PO(,4)('3-) + PtdIns(4,5)P2"	"Reaction"	"Activation"	"Catalysis"	"x"	"PTEN dephosphorylates PIP3, thereby, reversing the reaction catalyzed by PI3K."	"9593664;9778245;10196133;10339565;10400703;10469123;10866302;11858936;12461771;12478302;16824732;17035995;17324556;17972252"
271	"p90RSK2(RPS6KA3)"	"Protein kinase"	"Rictor"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"RSK can phosphorylate Rictor protein."	"19720745"
272	"EGR1"	"Transcription factor"	"LKB1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative EGR1 binding site is found in gene STK11 promoter."	"15774015"
273	"Leptin receptor"	"Generic receptor"	"STAT1"	"Transcription factor"	"Activation"	"Binding"	"x"	"Was shown in Western blot analysis with phospho-specific antibodies against STAT1."	"15634336"
274	"c-Src"	"Protein kinase"	"p70 S6 kinase1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"C-Src phosphorylates p70 S6 kinase1 and increases its activity."	"16640565"
275	"HNF4-alpha"	"Transcription factor"	"PI3K cat class III (Vps34)"	"Lipid kinase"	"Unspecified"	"Transcription regulation"	"x"	"Transcription regulation of PI3K cat class III (Vps34) by HNF4-alpha was shown by chromatin immunoprecipitation  and chip-on-chip assay."	"14988562;20936779"
276	"N-Myc"	"Transcription factor"	"LKB1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative N-Myc binding site is found in gene STK11 promoter."	"15774015"
277	"PI3K reg class IA (p85)"	"Generic binding protein"	"PI3K cat class IA (p110-alpha)"	"Lipid kinase"	"Activation"	"Binding"	"x"	"p110alpha associates with the p85."	"19033389"
278	"HSP70"	"Generic binding protein"	"Huntingtin"	"Generic binding protein"	"Inhibition"	"Binding"	"x"	"HSP70 physically interacts with mutant Huntingtin and decreases its activity"	"10942430;15459747;17251428"
279	"IRS-1"	"Generic binding protein"	"PI3K reg class IA (p85)"	"Generic binding protein"	"Activation"	"Binding"	"x"	"IRS-1 and IRS-2 interact with the Src-homology-2 (SH2) domains of the p85 subunit of phosphatidylinositol 3-kinase (PI3K)."	"1332046;8853442;9291837;9388205;10543935;10655627;11334412;11584304;11604392;11742412;11779863;12538627;12670715;14623341;15194438;15255933;15316008;15363634;15607020;16505233;16625210;16724053;16787739;17229938;17279354;17908691;19188427;19542202;19672574;21861178"
280	"NF-kB p50/p50"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"NF-kB p50/p50 can bind to gene EGFR promoter and activates EGFR expression."	"14678988;17881446;18577466;21963853"
281	"CDK1 (p34)"	"Protein kinase"	"PI3K cat class III (Vps34)"	"Lipid kinase"	"Inhibition"	"Phosphorylation"	"x"	"Cdk5/p25 can phosphorylate Thr159 of Vps34."	"20513426"
282	"EGFR"	"Receptor with enzyme activity"	"IGF-1 receptor"	"Receptor with enzyme activity"	"Activation"	"Binding"	"x"	"EGFR interacts with IGF-1 receptor and induces its stability."	"17047074;17307140;19826406"
283	"EGFR"	"Receptor with enzyme activity"	"JAK2"	"Protein kinase"	"Activation"	"Binding"	"x"	"JAK2 shows weak complex formation with EGFR. The complex formation is enhanced after stimulation with EGF. EGFR activates STAT in a JAK-dependent fashion."	"9363897;10358079;10635327;15284024;18721752;21536676"
284	"c-Src"	"Protein kinase"	"PKC-mu"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"The endogenous Src activity is required for efficient phosphorylation of cortactin by PKC-mu."	"12637538;17804414;19038333"
285	"EGFR"	"Receptor with enzyme activity"	"ESR1 (nuclear)"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"EGF promoted acute phosphorylation of serine and tyrosine residues in ER, and a direct interaction between ER and EGFR after treatment with EGF was found. The cross-communication between EGFR and ER appears to promote significant stimulation of cell proliferation."	"11887937;17284441"
286	"AMPK alpha 1 subunit"	"Protein kinase"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Activation"	"Phosphorylation"	"x"	"Sestrin 1 and Sestrin 2 interact with TSC1 (Hamartin), TSC2 (Tuberin), and AMP-responsive protein kinase (AMPK) catalytic subunits alpha1 and alpha2, activate the AMPK and target it to phosphorylate TSC2 and stimulate its GAP activity, thereby inhibiting mTOR."	"14651849;15261145;16959574;17376031;18291711;18692468;19914239;20965424"
287	"ESR1 (nuclear)"	"Transcription factor"	"p90RSK1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"ESR1 possibly binds to ERE of the p90RSK1 gene promoter."	"9528769;11139588;11432835;11507039;12093745;19698761"
288	"GSK3 beta"	"Protein kinase"	"c-Myc"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates the transcription factor c-Myc at Thr58, which targets c-Myc protein for ubiquitylation and subsequent proteolytic destruction."	"8247524;11018017;11877389;15467447;16247449;16855632;17113388;17570479;18426604;22307329;22389469;22461507"
289	"MEK2(MAP2K2)"	"Protein kinase"	"ERK2 (MAPK1)"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"MEK2(MAP2K2) interacts with and phosphorylates ERK2(MAPK1)."	"8702863;10358048;10395297;11134045;11823456;14616089;15753041;16765894;17254543;17321481;17537614;19651986"
290	"JunB"	"Transcription factor"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"JUNB probably regulates gene GSK3B transcription."	"21044952"
291	"alpha-6/beta-4 integrin"	"Generic receptor"	"ErbB2"	"Receptor with enzyme activity"	"Activation"	"Binding"	"x"	"Alpha-6/beta-4 integrin physically interacts with ErbB2 and increases its activity."	"9344587;16901776"
292	"GSK3 beta"	"Protein kinase"	"HNF4-alpha"	"Transcription factor"	"Activation"	"Binding"	"x"	"GSK3beta physically interacts with HNF4alpha. Inhibition of GSK3beta decreases the HNF4alpha activity."	"22384829"
293	"RelB (NF-kB subunit)"	"Transcription factor"	"Bcl-10"	"Generic binding protein"	"Activation"	"Transcription regulation"	"x"	"RelA and RelB bind to the BCL10 promoter."	"22579587"
294	"EGFR"	"Receptor with enzyme activity"	"PI-TP"	"Transporter"	"Activation"	"Binding"	"x"	"EGFR physically interacts with PI-TP and increases its activity."	"7761838"
295	"AMPK alpha 2 subunit"	"Protein kinase"	"p73"	"Transcription factor"	"Inhibition"	"Binding"	"x"	"AMPKalpha2 binds and  specifically represses the transcriptional activity of p73alpha."	"19079340"
296	"ETS1"	"Transcription factor"	"GSK3 alpha"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"GSK3 alpha was identificated as ETS1 transcription target by ChIP on chip analysis."	"17652178;20019798"
297	"GSK3 beta"	"Protein kinase"	"KLF5"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3beta phosphorylates and promotes the degradation of KLF5."	"20388706"
298	"ERK2 (MAPK1)"	"Protein kinase"	"p90RSK1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Rsk1 interacts with ERK2.  This interaction was modelled on a demonstrated interaction between rat RSK1 and monkey ERK2."	"8202512;9430688;9915826;11500364;12594221;12618428;12832467;15802625;16099987;17314970;18268018"
299	"AP-1"	"Transcription factor"	"ITGB4"	"Generic receptor"	"Unspecified"	"Transcription regulation"	"x"	"Potential binding sites for transcription factors AP-1, ETS, Myod, NF-kB, SP1 and CDX1 are found in the promoter of ITGB4 gene."	"9837976;17194617;20861821"
300	"p73"	"Transcription factor"	"PI3K cat class III (Vps34)"	"Lipid kinase"	"Unspecified"	"Transcription regulation"	"x"	"Chromatin immunoprecipitation experiments demonstrated that p73 bound to genomic sites near many genes associated with  autophagy or with lysosomal function such as Vps34."	"19001857"
301	"EGFR"	"Receptor with enzyme activity"	"Aurora-A"	"Protein kinase"	"Activation"	"Transcription regulation"	"x"	"The nuclear EGFR/STAT5 complex is recruited to the Aurora-A promoter and regulates gene expression."	"18586824;20473332"
302	"c-Src"	"Protein kinase"	"IQGAP1"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"c-Src protein phosphorylates  IQGAP1."	"19050761;19433088"
303	"c-Raf-1"	"Protein kinase"	"MEK1/2"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"c-Raf-1 phosphorylates and activates MEK1/2"	"1326789;7565670;11948406;15866172;18556463;19058874"
304	"c-Myc"	"Transcription factor"	"WDR3"	"Protein"	"Unspecified"	"Transcription regulation"	"x"	"By ChIP-on-chip data it was shown that c-Myc stimulates WDR3."	"17114293;19079543"
305	"p90RSK1"	"Protein kinase"	"DEPTOR"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"RSK1 and S6K1 kinases are activated to phosphorylate DEPTOR, which is then recognized by the F box protein, beta-TrCP, via its degron sequence for subsequent ubiquitination and degradation by SCF E3."	"22017876"
306	"CREB1"	"Transcription factor"	"LKB1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative CREB1 binding site is found in gene STK11 promoter."	"15774015"
307	"GSK3 beta"	"Protein kinase"	"E2F1"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 beta can promote the ubiquitation of E2F1 via physical interaction and thus inhibit its transcription activity in a kinase activity independent manner."	"17050006;17570479;18367454;20447425"
308	"ITGB4"	"Generic receptor"	"SHP-2"	"Protein phosphatase"	"Activation"	"Binding"	"x"	"ITGB4 physically interacts with SHP-2 and increases its activity."	"17158954;17711859;20855525"
309	"c-Src"	"Protein kinase"	"AKT1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"Constitutively active Src induces tyrosine phosphorylation of Akt and increases Akt activity."	"11445557;16858407;19122674;20193126"
310	"Bcl-3"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"Bcl-3 coregulates and activates EGFR promoter."	"14678988;17881446"
311	"AML1 (RUNX1)"	"Transcription factor"	"Separase"	"Generic protease"	"Unspecified"	"Transcription regulation"	"x"	"AML1 (RUNX1) can bind to gene Separase promoter."	"18511808"
312	"c-Myc"	"Transcription factor"	"PI3K cat class III (Vps34)"	"Lipid kinase"	"Unspecified"	"Transcription regulation"	"x"	"PI3K cat class III (Vps34) was identificated as c-Myc transcription target by chromatin immunoprecipitation assay."	"12747840"
313	"HNF4"	"Transcription factor"	"c-Raf-1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative SRF, HNF1, HNF4, ETS and YY1 binding sites are found in gene Raf1 promoter."	"15699019"
314	"PI3K cat class IA"	"Lipid kinase"	"ATP + PtdIns(4,5)P2 = ADP + PtdIns(3,4,5)P3"	"Reaction"	"Activation"	"Catalysis"	"x"	"PI3K cat class IA  phosphorylates phosphoinositides at the 3-hydroxyl group of the inositol ring to generate a second messenger phosphatidylinositol 3,4,5-trisphosphate."	"9182708;9192891;9514948;9830063;10187762;11395417;11687500;12461771;16088939;16990793"
315	"BMAL1"	"Transcription factor"	"mTOR"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Bmal1 is enriched at Mtor gene."	"21731503"
316	"p300"	"Generic enzyme"	"NF-kB1 (p50)"	"Transcription factor"	"Activation"	"Acetylation"	"x"	"NF-kB1 (p50) is acetylated by the CBP/p300 HAT domain. Acetylation of p50 increases its DNA binding properties."	"11739381;14662860;18227124;21423191"
317	"c-Myc"	"Transcription factor"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Inhibition"	"Transcription regulation"	"x"	"Binding of c-Myc to Tuberin was identified by sequence analysis and quantitative chromatin immunoprecipitation in vivo."	"11526483;12695333;12808131;15998811;17093053;18056446;18064040;19796622"
318	"FAK1"	"Protein kinase"	"Tuberin"	"Regulators (GDI, GAP, GEF)"	"Inhibition"	"Phosphorylation"	"x"	"FAK1 phosphorylates Tuberin and decreases its activity."	"17043358;18094094"
319	"p90RSK1"	"Protein kinase"	"YB-1"	"Transcription factor"	"Activation"	"Phosphorylation"	"x"	"Using an in vitro kinase assay, RSK1 and RSK2 were shown to directly phosphorylate YB-1 at the S102 and RSK1/2 are novel activators of YB-1."	"19036157"
320	"GSK3 beta"	"Protein kinase"	"FRAT1"	"Generic binding protein"	"Inhibition"	"Binding"	"x"	"GSK3 beta physically interacts with FRAT1 and decreases its activity."	"12095675;15207235;16163738"
321	"YY1"	"Transcription factor"	"Leptin receptor"	"Generic receptor"	"Unspecified"	"Transcription regulation"	"x"	"Putative SRF and YY1 binding sites are found in gene Leptin receptor promoter."	"15699019"
322	"YY1"	"Transcription factor"	"c-Raf-1"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"c-Raf-1 promoter has a putative YY1-binding site."	"15699019;17567998"
323	"Aurora-A"	"Protein kinase"	"c-Src"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"SRC and AURKA directly associate and phosphorylate each other."	"21785464"
324	"ERK2 (MAPK1)"	"Protein kinase"	"p70 S6 kinase1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"ERK2 (MAPK1) phosphorylates p70 S6 kinase1 at Thr421/Ser424 and Ser411."	"11279232"
325	"ERK1 (MAPK3)"	"Protein kinase"	"p70 S6 kinase1"	"Protein kinase"	"Activation"	"Phosphorylation"	"x"	"ERK1 (MAPK3) phosphorylates p70 S6 kinase1 at Thr421/Ser424"	"11279232"
326	"GSK3 beta"	"Protein kinase"	"Bcl-3"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"Phosphorylation decreases affinity of Bcl-3 to HDACs."	"15469820;21629754"
327	"EGFR"	"Receptor with enzyme activity"	"E2F1"	"Transcription factor"	"Activation"	"Binding"	"x"	"EGFR physically interacts with E2F1 and increases its activity."	"16299810"
328	"c-Jun"	"Transcription factor"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"c-Jun probably regulates gene GSK3B transcription."	"1846781;21044952"
329	"mTORC1"	"Protein kinase"	"DEPTOR"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"Both mTORC1 and mTORC2 could phosphorylate DEPTOR. DEPTOR phosphorylation by mTOR in response to growth signals, and in collaboration with casein kinase I (CKI), generates a phosphodegron that binds beta-TrCP."	"22017875"
330	"p53"	"Transcription factor"	"ITGB4"	"Generic receptor"	"Inhibition"	"Transcription regulation"	"x"	"The beta4 expression is transcriptionally repressed in tumors by HIPK2 and p53. P53 is present on the ITGB4 promoter in RKO/mock cells, whereas HIPK2 depletion strongly reduces the amount of p53 bound to the promoter."	"19567674;20018659"
331	"p90RSK1"	"Protein kinase"	"Raptor"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"RSK-mediated phosphorylation of Raptor regulates mTORC1 activity and thus suggest a means by which the Ras/MAPK pathway might promote rapamycin-sensitive signaling independently of the PI3K/Akt pathway."	"18722121"
332	"CREB1"	"Transcription factor"	"GSK3 beta"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative CREB1 binding sites are found in gene GSK3 beta promoter."	"10486203"
333	"K-RAS"	"RAS - superfamily"	"B-Raf"	"Protein kinase"	"Activation"	"Binding"	"x"	"K-RAS interacts with B-Raf and activates it"	"12068308;15102471;15143186"
334	"Synapsin I"	"Generic binding protein"	"c-Src"	"Protein kinase"	"Activation"	"Binding"	"x"	"Synapsin I interacts with c-Src and activates it"	"9342381;9539797;10899172;16099987;17400547"
335	"NRF2"	"Transcription factor"	"EGFR"	"Receptor with enzyme activity"	"Unspecified"	"Transcription regulation"	"x"	"Putative NRF2 binding sites are found in gene EGFR promoter."	"17466351"
336	"GSK3 beta"	"Protein kinase"	"Paxillin"	"Generic binding protein"	"Activation"	"Phosphorylation"	"x"	"GSK3 beta phosphorylates Paxillin and increases its activity."	"16537926"
337	"GSK3 alpha"	"Protein kinase"	"Beta-catenin"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"GSK-3-mediated phosphorylation of 3 residues on b-catenin targets it for ubiquitination and subsequent proteosome-mediated degradation."	"9482734;9601641;16099987;17510365;17543867;20363320"
338	"GSK3 beta"	"Protein kinase"	"Securin"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"Glycogen synthase kinase 3beta (GSK3beta) phosphorylates securin to promote its proteolysis via SCF(betaTrCP) E3 ubiquitin ligase."	"21757741"
339	"AMPK alpha 1 subunit"	"Protein kinase"	"AMPK beta1"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"Association of AMPK alpha 1 subunit with AMPK beta1 was detected by tandem affinity purification and immunoblotting."	"8626596;8663446;16306228;17608512;18480843;20368287;20562859;21481774"
340	"p53"	"Transcription factor"	"LKB1"	"Protein kinase"	"Activation"	"Transcription regulation"	"x"	"P53 mutant stimulation with PRIMA-1 activates expression of LKB1, posessing p53 binding site."	"11430832;19946333"
341	"PSD-95"	"Generic binding protein"	"NR2B"	"Generic binding protein"	"Activation"	"Binding"	"x"	"PSD-95 by binding to Src and NR2B facilitates the phosphorylation of Y1472 NR2B by Src."	"7569905;8601796;9278515;9581762;9647694;9786987;10341223;10488080;10862698;11937501;11997254;12738960;15661374;15673667;16330502;16332682;16635246;16710293;16990796;17553983;17950729;18184784;18233995;18445709;19041927;19158293;19187438;19240213;19243221;19455133;20141836;20554866;20869595"
342	"DNA-PK"	"Protein kinase"	"LKB1"	"Protein kinase"	"Unspecified"	"Phosphorylation"	"x"	"DNA-PK phosphorylates LKB1."	"12234250;17570479"
343	"PRAS40"	"Generic binding protein"	"mTOR"	"Protein kinase"	"Inhibition"	"Binding"	"x"	"PRAS40 physically interacts with mTOR and decreases its activity."	"17277771;17386266;17517883;18570873;19446321;20127721;20965424;21763421;21914810"
344	"Leptin receptor"	"Generic receptor"	"c-Src"	"Protein kinase"	"Activation"	"Binding"	"x"	"Stimulation of CACs with leptin increased the amount of ObR and alphavbeta5 that could be coimmunoprecipitated with Src kinase. leptin-induced Src kinase activation was downstream of ObR and JAK2."	"19910644"
345	"GSK3 alpha/beta"	"Protein kinase"	"JunB"	"Transcription factor"	"Inhibition"	"Phosphorylation"	"x"	"GSK3 phosphorylates the C-terminal regions of Jun family transcription factors at sites proximal to their DNA binding domains, and this decreases their affinity for AP1 consensus sequences and their transactivating potential."	"17993264"
346	"AKT(PKB)"	"Protein kinase"	"ITGB4"	"Generic receptor"	"Activation"	"Phosphorylation"	"x"	"The Y1494 mutation construct resulted in a significant decrease in levels of beta4 integrin-tyrosine, Akt and S6 kinase phosphorylation."	"19597468"
347	"GSK3 alpha"	"Protein kinase"	"Rictor"	"Generic binding protein"	"Unspecified"	"Phosphorylation"	"x"	"GSK3 can phosphorylate Rictor protein."	"19720745"
348	"NF-kB p50/p65"	"Transcription factor"	"ITGB4"	"Generic receptor"	"Activation"	"Transcription regulation"	"x"	"NF-kB p50/p65 binds to the cis-binding site of ITGB4 promoter. Par-4 inhibits ITGB4 expression by repressing NF-kB binding to the gene promoter."	"20433755"
349	"SRF"	"Transcription factor"	"c-Raf-1"	"Protein kinase"	"Inhibition"	"Transcription regulation"	"x"	"SRF binds to gene c-Raf-1 promoter and suppresses c-Raf-1 expression."	"15699019"
350	"AMPK alpha 1 subunit"	"Protein kinase"	"Raptor"	"Generic binding protein"	"Inhibition"	"Phosphorylation"	"x"	"AMPK directly phosphorylates the mTOR binding partner raptor on two well-conserved serine residues, and this phosphorylation induces 14-3-3binding to raptor."	"18439900;20639120"
351	"Laforin"	"Protein phosphatase"	"GSK3 beta"	"Protein kinase"	"Activation"	"Dephosphorylation"	"x"	"Laforin dephosphorylates and activates GSK3 beta"	"16115820;16959610;16971387"
352	"Bcl-10"	"Generic binding protein"	"JNK2(MAPK9)"	"Protein kinase"	"Activation"	"Binding"	"x"	"Bcl-10 physically interacts with JNK2(MAPK9) and increases its activity."	"17189706"
353	"c-Src"	"Protein kinase"	"ADAM17"	"Metalloprotease"	"Activation"	"Binding"	"x"	"C-Src physically interacts with ADAM17 and increases its activity."	"16641105"
354	"p300"	"Generic enzyme"	"p70 S6 kinase1"	"Protein kinase"	"Unspecified"	"Acetylation"	"x"	"S6Ks can be acetylated by p300 and PCAF in vitro and S6K acetylation is detected in cells expressing p300. Both expression of p300 and HDAC inhibition cause increases in S6K protein levels, and we have shown that S6K2 is stabilized in cells treated with HDAC inhibitors."	"19961954;20599721"
355	"Bcl-3"	"Transcription factor"	"Bcl-10"	"Generic binding protein"	"Activation"	"Binding"	"x"	"BCL-3 binds to BCL-10 forming complex Bcl10:Bcl3 which enters the nucleus."	"16280327"
356	"ESR1 (nuclear)"	"Transcription factor"	"LKB1"	"Protein kinase"	"Inhibition"	"Transcription regulation"	"x"	"ERalpha binds to the STK11 promoter in a ligand-independent manner and that this interaction is decreased in the presence of estradiol."	"21689749;22226967"
357	"CBP"	"Generic enzyme"	"EGFR"	"Receptor with enzyme activity"	"Activation"	"Transcription regulation"	"x"	"HDACi caused the dissociation of SP1, HDAC3 and CBP from EGFR promoter."	"21464950"
358	"YY1"	"Transcription factor"	"GSK3 alpha"	"Protein kinase"	"Unspecified"	"Transcription regulation"	"x"	"Putative YY1 binding site was found in gene GSK3A promoter."	"11113543"
